t_Ve,Ve,,t_Vc,Vc
0.0002890770747592563,9.968872191808844,,0.0002890770747592563,6.465379101615182
0.0002891770747592563,9.968787576177641,,0.0002891770747592563,6.471613124396824
0.0002892770747592563,9.96870319633835,,0.0002892770747592563,6.477864046725418
0.0002893770747592563,9.968619052641577,,0.0002893770747592563,6.484131821407517
0.0002894770747592563,9.968535145436324,,0.0002894770747592563,6.490416401179721
0.0002895770747592563,9.968451475069987,,0.0002895770747592563,6.496717738708987
0.0002896770747592563,9.968368041888352,,0.0002896770747592563,6.503035786592947
0.0002897770747592563,9.968284846235605,,0.0002897770747592563,6.509370497360246
0.0002898770747592563,9.968201888454312,,0.0002898770747592563,6.515721823470847
0.0002899770747592563,9.968119168885433,,0.0002899770747592563,6.522089717316365
0.0002900770747592563,9.968036687868322,,0.0002900770747592563,6.528474131220378
0.0002901770747592563,9.96795444574071,,0.0002901770747592563,6.534875017438758
0.0002902770747592563,9.967872442838726,,0.0002902770747592563,6.541292328159997
0.0002903770747592563,9.967790679496876,,0.0002903770747592563,6.547726015505516
0.0002904770747592563,9.967709156048054,,0.0002904770747592563,6.55417603153
0.00029057707475925633,9.967627872823538,,0.00029057707475925633,6.560642328221714
0.00029067707475925633,9.96754683015299,,0.00029067707475925633,6.567124857502831
0.00029077707475925633,9.96746602836445,,0.00029077707475925633,6.573623571229749
0.00029087707475925634,9.967385467784343,,0.00029087707475925634,6.580138421193428
0.00029097707475925634,9.967305148737472,,0.00029097707475925634,6.5866693591197
0.00029107707475925634,9.967225071547018,,0.00029107707475925634,6.593216336669599
0.00029117707475925634,9.967145236534543,,0.00029117707475925634,6.599779305439684
0.00029127707475925634,9.967065644019986,,0.00029127707475925634,6.606358216962365
0.00029137707475925635,9.966986294321659,,0.00029137707475925635,6.612953022706227
0.00029147707475925635,9.966907187756252,,0.00029147707475925635,6.619563674076354
0.00029157707475925635,9.966828324638831,,0.00029157707475925635,6.626190122414657
0.00029167707475925635,9.966749705282835,,0.00029167707475925635,6.632832319000194
0.00029177707475925636,9.966671330000073,,0.00029177707475925636,6.639490215049498
0.00029187707475925636,9.966593199100732,,0.00029187707475925636,6.646163761716901
0.00029197707475925636,9.966515312893364,,0.00029197707475925636,6.6528529100948655
0.00029207707475925636,9.966437671684897,,0.00029207707475925636,6.659557611214305
0.00029217707475925637,9.966360275780625,,0.00029217707475925637,6.666277816044908
0.00029227707475925637,9.966283125484212,,0.00029227707475925637,6.673013475495469
0.00029237707475925637,9.966206221097693,,0.00029237707475925637,6.679764540414214
